district,at_large,first_name,last_name,gender,ethnicity,date_of_birth,entered_office,term_end,title,party,email,phone,address,twitter_url,facebook_url,photo_url
Ward 1,no,Joe Proco,Moreno,male,hispanic-american,1972-03-19,2010-03-26,2019-05-20,alderman,democrat,Ward01@cityofchicago.org,773-278-0101,"2740 W. North Avenue, Chicago, IL 60647",https://twitter.com/Alderman_Moreno,https://www.facebook.com/FirstWardChicago,https://www.cityofchicago.org/content/dam/city/about/wards/01/aldward01.jpg
Ward 2,no,Brian,Hopkins,male,white-american,,2015-05-18,2019-05-20,alderman,democrat,Ward02@cityofchicago.org,312-643-2299,"1400 N. Ashland Street, Chicago, IL 60622",https://twitter.com/aldermanhopkins,https://www.facebook.com/aldermanhopkins/,https://scontent.ford1-1.fna.fbcdn.net/v/t1.0-1/p200x200/12316493_860624847388835_947847814715211512_n.jpg?oh=17e8bdfe970a054b4ebacd4b43bd4b19&oe=5908D65E
Ward 3,no,Pat,Dowell,female,african-american,,2007-05-21,2019-05-20,alderman,democrat,Ward03@cityofchicago.org,773-373-9273,"5046 S. State Street, Chicago, IL 60609",https://twitter.com/AldPatDowell3rd,https://www.facebook.com/aldermanpat.dowell,https://www.cityofchicago.org/content/dam/city/about/wards/03/pdowellsm.jpg
Ward 4,no,Sophia,King,female,african-american,,2016-04-13,2017-05-15,alderman,democrat,ward04@cityofchicago.org,773-536-8103,"435 E. 35th Street, Chicago, IL  60616",https://twitter.com/aldsophiaking,https://www.facebook.com/Ald-Sophia-D-King-1696743787258274,https://www.cityofchicago.org/content/dam/city/about/wards/04/aldward4.jpg
Ward 5,no,Leslie,Hairston,female,african-american,1961-07-17,1999-05-03,2019-05-20,alderman,democrat,ward05@cityofchicago.org,773-324-5555,"2325 E. 71st Street, Chicago, IL 60649",https://twitter.com/5thWardChicago,https://www.facebook.com/leslie.hairston,https://www.cityofchicago.org/content/dam/city/about/wards/05/aldward5photo.jpg
Ward 6,no,Roderick,Sawyer,male,african-american,1963-04-12,2011-05-16,2019-05-20,alderman,democrat,ward06@cityofchicago.org,773-635-0006,"700 E. 79th Street, Chicago, IL 60619",https://twitter.com/RoderickTSawyer,https://www.facebook.com/AldermanSawyer,http://6thwardchicago.com/wp-content/uploads/2015/08/rod6.png
Ward 7,no,Gregory,Mitchell,male,african-american,,2015-05-18,2019-05-20,alderman,democrat,ward07@cityofchicago.org,773-731-7777,"2249 East 95th St., Chicago, IL 60617",https://twitter.com/AldGregMitchell,https://www.facebook.com/Greg-Mitchell-7th-Ward-Alderman-175391322485483,http://www.gregmitchell7thward.org/images/alderman/greg-mitchell-7thward.jpg
Ward 8,no,Michelle,Harris,female,african-american,,2007-05-21,2019-05-20,alderman,democrat,ward08@cityofchicago.org,773-874-3300,"8539 S. Cottage Grove Ave., Chicago, IL 60619",https://twitter.com/Aldermanharris,http://www.facebook.com/Aldermanharris,https://www.cityofchicago.org/content/dam/city/about/wards/08/aldward8.jpg
Ward 9,no,Anthony,Beale,male,african-american,1967-10-22,1999-05-03,2019-05-20,alderman,democrat,ward09@cityofchicago.org,773-785-1100,"34 East 112th Place, Chicago, IL 60628",https://twitter.com/Alderman_Beale,https://www.facebook.com/alderman.beale,https://scontent.ford1-1.fna.fbcdn.net/v/t1.0-1/c25.25.310.310/s160x160/944226_558808647514063_2080489687_n.jpg?oh=eca2c88b833801149778ba4372e0aa9b&oe=592013C1
Ward 10,no,Susan,Sadlowski Garza,female,white-american,,2015-05-18,2019-05-20,alderman,democrat,ward10@cityofchicago.org,773-768-8138,"10500 S. Ewing Avenue, Chicago, IL 60617",https://twitter.com/ssadlowskigarza,https://www.facebook.com/ssadlowskigarza,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT4lmoSam0rO2NJlbsNdzgCI1VZO2NvI94HBnCpMtsjWgiwWGA2
Ward 11,no,Patrick,Thompson,male,white-american,,2015-05-18,2019-05-20,alderman,democrat,ward11@cityofchicago.org,773-254-6677,"3659 S. Halsted St., Chicago, IL 60609",https://twitter.com/AldPatDThompson,https://www.facebook.com/patrickdthompson11/,http://media.chicagomag.com//images/cache/cache_1/cache_8/cache_d/C201504-312-Daley-Redux-Patrick-Daley-Thompson-26090d81.jpeg?ver=1483717082&aspectratio=0.83333333333333
Ward 12,no,George A,Cardenas,male,hispanic-american,1964-10-09,2003-05-05,2019-05-20,alderman,democrat,ward12@cityofchicago.org,773-523-8250,"3476 S. Archer, Chicago, IL 60608",https://twitter.com/aldcardenas,http://www.facebook.com/pages/Alderman-George-A-Cardenas-Fan-Page/331955809316,https://farm9.staticflickr.com/8116/8692580780_86bf06f29a.jpg
Ward 13,no,Marty,Quinn,male,white-american,,2011-05-16,2019-05-20,alderman,democrat,ward13@cityofchicago.org,773-581-8000,"6500 S. Pulaski Rd., Chicago, IL 60629",,,http://takebackchicago.org/sites/default/files/headshots/13martyQuinn_magnumn.jpg
Ward 14,no,Ed,Burke,male,white-american,1943-12-29,1969-05-01,2019-05-20,alderman,democrat,ward14@cityofchicago.org,773-471-1414,"2650 W. 51st Street, Chicago, IL 60632",https://twitter.com/EdwardMBurke,https://www.facebook.com/Alderman-Edward-M-Burke-532125180209664/,https://www.cityofchicago.org/content/dam/city/about/wards/14/aldward14.jpg
Ward 15,no,Raymond,Lopez,male,hispanic-american,1978-05-26,2015-05-18,2019-05-20,alderman,democrat,ward15@cityofchicago.org,773-306-0837,"1650 W 63rd St, Chicago, IL 60636",https://twitter.com/RLopez15thWard,https://www.facebook.com/AldermanRaymondLopez,https://www.facebook.com/315139338652069/photos/452079614958040/
Ward 16,no,Toni,Foulkes,female,african-american,,2007-05-21,2019-05-20,alderman,democrat,ward16@cityofchicago.org,773-863-0220,"1504 W. 63rd St, Chicago, IL 60636",https://twitter.com/ToniFoulkes,https://www.facebook.com/aldtonifoulkes,"https://static.wixstatic.com/media/9cc3bc_6c16cad54a4e4379ae9749e5090f1c36~mv2.png/v1/fill/w_328,h_515,al_c,lg_1/9cc3bc_6c16cad54a4e4379ae9749e5090f1c36~mv2.png"
Ward 17,no,David,Moore,male,african-american,,2015-05-18,2019-05-20,alderman,democrat,ward17@cityofchicago.org,773-783-3672,"1344 W. 79th St., Chicago, IL 60620",,https://www.facebook.com/citizensformoore/,https://i0.wp.com/www.17thwardalderman.com/17thward/wp-content/uploads/2015/11/Moore-Arms-Folded-144_Web.jpg?w=1080
Ward 18,no,Derrick,Curtis,male,african-american,,2015-05-18,2019-05-20,alderman,democrat,ward18@cityofchicago.org,773-284-5057,"8359 S. Pulaski  Rd., Chicago, IL 60652",https://twitter.com/aldcurtis18,https://www.facebook.com/aldermancurtis18ward/,https://www.cityofchicago.org/content/dam/city/about/wards/18/aldward18.jpg
